Tue Mar  4 21:16:38 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 29s, session: 0s) on dathomir at -4148 5925 - playerLoggedIn
Tue Mar  4 21:17:42 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 38m 33s, session: 1m 4s) on dathomir at -4148 5925 - playerLoggedOut
Tue Mar  4 21:18:48 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 11s, session: 0s) on dathomir at -4148 5925 - playerLoggedOut
Tue Mar  4 21:18:48 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 12s, session: 0s) on dathomir at -4148 5925 - playerLoggedIn
Tue Mar  4 21:21:04 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 39m 27s, session: 2m 15s) on dathomir at -4148 5925 - playerLoggedOut
Tue Mar  4 21:24:16 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 11s, session: 0s) on dathomir at -4148 5925 - playerLoggedOut
Tue Mar  4 21:24:16 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 12s, session: 0s) on dathomir at -4148 5925 - playerLoggedIn
Tue Mar  4 22:10:09 2025 [ServerEventAutomation] playerEvent Diana (account_id: 3, oid: 281474993573914, played: 2h 8m 49s, session: 0s) on naboo at 4939 6030 - playerLoggedIn
Tue Mar  4 22:10:51 2025 [ServerEventAutomation] playerEvent Diana (account_id: 3, oid: 281474993573914, played: 2h 9m 30s, session: 41s) on naboo at 4945 5993 - playerLoggedOut
Tue Mar  4 22:11:00 2025 [ServerEventAutomation] playerEvent Icelynn (account_id: 3, oid: 281474993574050, played: 1h 6m 35s, session: 0s) on naboo at 4955 5994 - playerLoggedIn
Tue Mar  4 22:13:19 2025 [ServerEventAutomation] playerEvent Dakkon (account_id: 5, oid: 281474993574075, played: 45m 52s, session: 0s) on tatooine at 39 -5338 - playerLoggedOut
Tue Mar  4 22:13:19 2025 [ServerEventAutomation] playerEvent Dakkon (account_id: 5, oid: 281474993574075, played: 45m 53s, session: 0s) on tatooine at 39 -5338 - playerLoggedIn
Tue Mar  4 22:14:36 2025 [ServerEventAutomation] playerEvent Dakkon (account_id: 5, oid: 281474993574075, played: 47m 9s, session: 1m 16s) on tatooine at 57 -5346 - playerLoggedOut
Tue Mar  4 22:14:49 2025 [ServerEventAutomation] playerEvent Icelynn (account_id: 3, oid: 281474993574050, played: 1h 10m 23s, session: 3m 48s) on naboo at 4913 6032 - playerLoggedOut
Tue Mar  4 22:17:44 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 11s, session: 0s) on dathomir at -4148 5925 - playerLoggedOut
Tue Mar  4 22:17:44 2025 [ServerEventAutomation] playerEvent madrox (account_id: 3, oid: 281474993701078, played: 1h 37m 12s, session: 0s) on dathomir at -4148 5925 - playerLoggedIn
Tue Mar  4 22:19:01 2025 [ServerEventAutomation] playerEvent Icelynn (account_id: 3, oid: 281474993574050, played: 1h 10m 23s, session: 0s) on naboo at 4913 6032 - playerLoggedOut
Tue Mar  4 22:19:01 2025 [ServerEventAutomation] playerEvent Icelynn (account_id: 3, oid: 281474993574050, played: 1h 10m 24s, session: 0s) on naboo at 4913 6032 - playerLoggedIn
Tue Mar  4 22:20:26 2025 [ServerEventAutomation] playerEvent Sara (account_id: 5, oid: 281474993874616, played: 1s, session: 0s) on tutorial at 3743 156 - playerLoggedIn
